repo_name,repo_link,stars,language,topic_name,description
necolas / normalize.css,https://github.com/necolas/normalize.css,52.9k,CSS,CSS,A modern alternative to CSS resets
juliangarnier / anime,https://github.com/juliangarnier/anime,51.1k,JavaScript,CSS,JavaScript animation engine
prettier / prettier,https://github.com/prettier/prettier,50.2k,JavaScript,CSS,Prettier is an opinionated code formatter.
jgthms / bulma,https://github.com/jgthms/bulma,49.7k,CSS,CSS,Modern CSS framework based on Flexbox
Asabeneh / 30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,44.2k,JavaScript,CSS,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days, please just follow your own pace. These videos may help too:"
vercel / hyper,https://github.com/vercel/hyper,43.8k,TypeScript,CSS,A terminal built on web technologies
parcel-bundler / parcel,https://github.com/parcel-bundler/parcel,43.7k,JavaScript,CSS,The zero configuration build tool for the web. 📦🚀
yangshun / front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,42.7k,MDX,CSS,🌐 Front End interview preparation materials for busy engineers
styled-components / styled-components,https://github.com/styled-components/styled-components,40.8k,TypeScript,CSS,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅
jellyfin / jellyfin,https://github.com/jellyfin/jellyfin,38.4k,C#,C#,The Free Software Media System - Server Backend & API
tabler / tabler,https://github.com/tabler/tabler,39k,MDX,CSS,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap
files-community / Files,https://github.com/files-community/Files,36.7k,C#,C#,A modern file manager that helps users organize their files and folders.
doocs / leetcode,https://github.com/doocs/leetcode,33.5k,Java,C#,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解
ShareX / ShareX,https://github.com/ShareX/ShareX,31.7k,C#,C#,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from."
microsoft / calculator,https://github.com/microsoft/calculator,30.2k,C++,C#,Windows Calculator: A simple yet powerful calculator that ships with Windows
DevToys-app / DevToys,https://github.com/DevToys-app/DevToys,28.4k,C#,C#,A Swiss Army knife for developers.
AvaloniaUI / Avalonia,https://github.com/AvaloniaUI/Avalonia,27.3k,C#,C#,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET UI client technology"
mxgmn / WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23.9k,C#,C#,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics
pulumi / pulumi,https://github.com/pulumi/pulumi,22.8k,Go,C#,Pulumi - Infrastructure as Code in any programming language 🚀
BeyondDimension / SteamTools,https://github.com/BeyondDimension/SteamTools,21.6k,C#,C#,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。
thangchung / awesome-dotnet-core,https://github.com/thangchung/awesome-dotnet-core,20.3k,C#,C#,"🐝 A collection of awesome .NET core libraries, tools, frameworks and software"
quozd / awesome-dotnet,https://github.com/quozd/awesome-dotnet,19.9k,Unknown,C#,"A collection of awesome .NET libraries, tools, frameworks and software"
dotnet / roslyn,https://github.com/dotnet/roslyn,19.4k,C#,C#,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.
d3 / d3,https://github.com/d3/d3,110k,Shell,Data visualization,"Bring data to life with SVG, Canvas and HTML. 📊📈🎉"
jwasham / coding-interview-university,https://github.com/jwasham/coding-interview-university,314k,Unknown,Data structures,A complete computer science study plan to become a software engineer.
MoienTajik / AspNetCore-Developer-Roadmap,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap,19k,Unknown,C#,Roadmap to becoming an ASP.NET Core developer in 2025
antlr / antlr4,https://github.com/antlr/antlr4,17.8k,Java,C#,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files."
dotnet / corefx,https://github.com/dotnet/corefx,17.6k,Unknown,C#,This repo is used for servicing PR's for .NET Core 2.1 and 3.1. Please visit us at
peass-ng / PEASS-ng,https://github.com/peass-ng/PEASS-ng,17.2k,C#,C#,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors)
ardalis / CleanArchitecture,https://github.com/ardalis/CleanArchitecture,16.9k,C#,C#,Clean Architecture Solution Template: A proven Clean Architecture Template for ASP.NET Core 9
netdata / netdata,https://github.com/netdata/netdata,73.9k,C,Data visualization,X-Ray Vision for your infrastructure!
grafana / grafana,https://github.com/grafana/grafana,67.3k,TypeScript,Data visualization,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more."
apache / superset,https://github.com/apache/superset,65.3k,TypeScript,Data visualization,Apache Superset is a Data Visualization and Data Exploration Platform
trekhleb / javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,191k,JavaScript,Data structures,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
labuladong / fucking-algorithm,https://github.com/labuladong/fucking-algorithm,127k,Markdown,Data structures,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why."
krahets / hello-algo,https://github.com/krahets/hello-algo,111k,Java,Data structures,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing"
TheAlgorithms / Java,https://github.com/TheAlgorithms/Java,61.2k,Java,Data structures,All Algorithms implemented in Java
bitwarden / server,https://github.com/bitwarden/server,16.3k,C#,C#,"Bitwarden infrastructure/backend (API, database, Docker, etc)."
rocksdanister / lively,https://github.com/rocksdanister/lively,16k,C#,C#,Free and open-source software that allows users to set animated desktop wallpapers and screensavers powered by WinUI 3.
apache / echarts,https://github.com/apache/echarts,62.3k,TypeScript,Data visualization,"Apache ECharts is a powerful, interactive charting and data visualization library for browser"
pixijs / pixijs,https://github.com/pixijs/pixijs,44.8k,TypeScript,Data visualization,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer."
metabase / metabase,https://github.com/metabase/metabase,41.4k,Clojure,Data visualization,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data 📊
streamlit / streamlit,https://github.com/streamlit/streamlit,38.5k,Python,Data visualization,Streamlit — A faster way to build and share data apps.
gradio-app / gradio,https://github.com/gradio-app/gradio,37.2k,Python,Data visualization,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
azl397985856 / leetcode,https://github.com/azl397985856/leetcode,55.2k,JavaScript,Data structures,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。)
huihut / interview,https://github.com/huihut/interview,35.8k,C++,Data structures,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…"
TheAlgorithms / JavaScript,https://github.com/TheAlgorithms/JavaScript,33k,JavaScript,Data structures,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices."
TheAlgorithms / C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31.5k,C++,Data structures,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes."
directus / directus,https://github.com/directus/directus,29.7k,TypeScript,Data visualization,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more."
microsoft / Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,29.1k,Jupyter Notebook,Data visualization,"10 Weeks, 20 Lessons, Data Science for All!"
academic / awesome-datascience,https://github.com/academic/awesome-datascience,26k,Unknown,Data visualization,📝 An awesome Data Science repository to learn and apply for real world problems.
plotly / dash,https://github.com/plotly/dash,22.2k,Python,Data visualization,Data Apps & Dashboards for Python. No JavaScript Required.
kodecocodes / swift-algorithm-club,https://github.com/kodecocodes/swift-algorithm-club,29k,Swift,Data structures,"Algorithms and data structures in Swift, with explanations!"
TheAlgorithms / Rust,https://github.com/TheAlgorithms/Rust,23.7k,Rust,Data structures,All Algorithms implemented in Rust
OI-wiki / OI-wiki,https://github.com/OI-wiki/OI-wiki,22.6k,TypeScript,Data structures,🌟 Wiki of OI / ICPC for everyone. （某大型游戏线上攻略，内含炫酷算术魔法）
TheAlgorithms / C,https://github.com/TheAlgorithms/C,19.9k,C,Data structures,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes."
matplotlib / matplotlib,https://github.com/matplotlib/matplotlib,21k,Python,Data visualization,matplotlib: plotting with Python
airbnb / visx,https://github.com/airbnb/visx,19.9k,TypeScript,Data visualization,🐯 visx | visualization components
ml-tooling / best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,19.9k,Unknown,Data visualization,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.
kunal-kushwaha / DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,18.7k,Java,Data structures,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs."
TheAlgorithms / Go,https://github.com/TheAlgorithms/Go,16.7k,Go,Data structures,"Algorithms and Data Structures implemented in Go for beginners, following best practices."
gyoogle / tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,15.6k,Java,Data structures,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖
dataease / dataease,https://github.com/dataease/dataease,19.8k,Java,Data visualization,🔥 人人可用的开源 BI 工具，数据可视化神器。
sinaptik-ai / pandas-ai,https://github.com/sinaptik-ai/pandas-ai,18.7k,Python,Data visualization,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
Avaiga / taipy,https://github.com/Avaiga/taipy,17.9k,Python,Data visualization,Turns Data and AI algorithms into production-ready web applications in no time.
plotly / plotly.js,https://github.com/plotly/plotly.js,17.5k,JavaScript,Data visualization,Open-source JavaScript charting library behind Plotly and Dash
careercup / CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,11.4k,Java,Data structures,Cracking the Coding Interview 6th Ed. Solutions
AkashSingh3031 / The-Complete-FAANG-Preparation,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation,11.1k,Jupyter Notebook,Data structures,"Dive into this repository, a comprehensive resource covering Data Structures, Algorithms, 450 DSA by Love Babbar, Striver DSA sheet, Apna College DSA Sheet, and FAANG Questions! 🚀 That's not all! We've got Technical Subjects like Operating Systems, DBMS, SQL, Computer Networks, and Object-Oriented Programming, all waiting for you."
seanprashad / leetcode-patterns,https://github.com/seanprashad/leetcode-patterns,10.6k,JavaScript,Data structures,A pattern-based approach for learning technical interview questions
changgyhub / leetcode_101,https://github.com/changgyhub/leetcode_101,9.3k,Unknown,Data structures,LeetCode 101：力扣刷题指南
tensorflow / tensorflow,https://github.com/tensorflow/tensorflow,189k,C++,Deep learning,An Open Source Machine Learning Framework for Everyone
AUTOMATIC1111 / stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,150k,Python,Deep learning,Stable Diffusion web UI
huggingface / transformers,https://github.com/huggingface/transformers,142k,Python,Deep learning,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
pytorch / pytorch,https://github.com/pytorch/pytorch,88.5k,Python,Deep learning,Tensors and Dynamic neural networks in Python with strong GPU acceleration
opencv / opencv,https://github.com/opencv/opencv,81.4k,C++,Deep learning,Open Source Computer Vision Library
Developer-Y / cs-video-courses,https://github.com/Developer-Y/cs-video-courses,68.4k,Unknown,Deep learning,List of Computer Science courses with video lectures.
d2l-ai / d2l-zh,https://github.com/d2l-ai/d2l-zh,67.9k,Python,Deep learning,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。
keras-team / keras,https://github.com/keras-team/keras,62.8k,Python,Deep learning,Deep Learning for humans
labmlai / annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,59.6k,Python,Deep learning,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
dair-ai / Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,54.6k,MDX,Deep learning,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering"
CorentinJ / Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,53.9k,Python,Deep learning,Clone a voice in 5 seconds to generate arbitrary speech in real-time
deepfakes / faceswap,https://github.com/deepfakes/faceswap,53.6k,Python,Deep learning,Deepfakes Software For All
supabase / supabase,https://github.com/supabase/supabase,80.1k,TypeScript,Database,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
ultralytics / yolov5,https://github.com/ultralytics/yolov5,53.2k,Python,Deep learning,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
infiniflow / ragflow,https://github.com/infiniflow/ragflow,47.3k,TypeScript,Deep learning,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
Avik-Jain / 100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,46.8k,Unknown,Deep learning,100 Days of ML Coding
aymericdamien / TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,43.6k,Jupyter Notebook,Deep learning,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2)
hpcaitech / ColossalAI,https://github.com/hpcaitech/ColossalAI,40.7k,Python,Deep learning,"Making large AI models cheaper, faster and more accessible"
netdata / netdata,https://github.com/netdata/netdata,73.9k,C,Database,X-Ray Vision for your infrastructure!
redis / redis,https://github.com/redis/redis,68.5k,C,Database,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
meilisearch / meilisearch,https://github.com/meilisearch/meilisearch,50k,Rust,Database,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.
etcd-io / etcd,https://github.com/etcd-io/etcd,49k,Go,Database,Distributed reliable key-value store for the most critical data of a distributed system
coqui-ai / TTS,https://github.com/coqui-ai/TTS,39k,Python,Deep learning,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
floodsung / Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,38.9k,Python,Deep learning,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
ultralytics / ultralytics,https://github.com/ultralytics/ultralytics,38.8k,Python,Deep learning,Ultralytics YOLO11 🚀
dbeaver / dbeaver,https://github.com/dbeaver/dbeaver,42.5k,Java,Database,Free universal database tool and SQL client
LeCoupa / awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,42k,JavaScript,Database,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file."
prisma / prisma,https://github.com/prisma/prisma,41.7k,TypeScript,Database,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB"
metabase / metabase,https://github.com/metabase/metabase,41.4k,Clojure,Database,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data 📊
ClickHouse / ClickHouse,https://github.com/ClickHouse/ClickHouse,39.8k,C++,Database,ClickHouse® is a real-time analytics database management system
pingcap / tidb,https://github.com/pingcap/tidb,38.2k,Go,Database,"TiDB - the open-source, cloud-native, distributed SQL database designed for modern applications."
QuivrHQ / quivr,https://github.com/QuivrHQ/quivr,37.6k,Python,Database,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want."
huihut / interview,https://github.com/huihut/interview,35.8k,C++,Database,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…"
SheetJS / sheetjs,https://github.com/SheetJS/sheetjs,35.5k,Unknown,Database,📗 SheetJS Spreadsheet Data Toolkit -- New home
typeorm / typeorm,https://github.com/typeorm/typeorm,35.2k,TypeScript,Database,"ORM for TypeScript and JavaScript. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms."
sqlmapproject / sqlmap,https://github.com/sqlmapproject/sqlmap,33.7k,Python,Database,Automatic SQL injection and database takeover tool
cockroachdb / cockroach,https://github.com/cockroachdb/cockroach,30.7k,Go,Database,"CockroachDB — the cloud native, distributed SQL database designed for high availability, effortless scale, and control over data placement."
influxdata / influxdb,https://github.com/influxdata/influxdb,29.8k,Rust,Database,"Scalable datastore for metrics, events, and real-time analytics"
directus / directus,https://github.com/directus/directus,29.7k,TypeScript,Database,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more."
webpro-nl / knip,https://github.com/webpro-nl/knip,7.8k,TypeScript,Dependency management,"✂️ Find unused files, dependencies and exports in your JavaScript and TypeScript projects. Knip it before you ship it!"
facebook / rocksdb,https://github.com/facebook/rocksdb,29.4k,C++,Database,"A library that provides an embeddable, persistent key-value store for fast storage."
gauge-sh / tach,https://github.com/gauge-sh/tach,2.3k,Rust,Dependency management,"A Python tool to visualize + enforce dependencies, using modular architecture 🌎 Open source 🐍 Installable via pip 🔧 Able to be adopted incrementally - ⚡ Implemented with no runtime impact ♾️ Interoperable with your existing systems 🦀 Written in rust"
pyupio / safety,https://github.com/pyupio/safety,1.8k,Python,Dependency management,Safety checks Python dependencies for known security vulnerabilities and suggests the proper remediations for vulnerabilities detected.
pointfreeco / swift-dependencies,https://github.com/pointfreeco/swift-dependencies,1.8k,Swift,Dependency management,"A dependency management library inspired by SwiftUI's ""environment."""
fastlane / fastlane,https://github.com/fastlane/fastlane,40k,Ruby,Deployment,🚀 The easiest way to automate building and releasing your iOS and Android apps
GetStream / vg,https://github.com/GetStream/vg,1.3k,Go,Dependency management,Virtualgo: Easy and powerful workspace based development for go
ehmicky / nve,https://github.com/ehmicky/nve,700,JavaScript,Dependency management,Run any command on specific Node.js versions
gradle / gradle-build-action,https://github.com/gradle/gradle-build-action,689,Unknown,Dependency management,Execute your Gradle build and trigger dependency submission
coenjacobs / mozart,https://github.com/coenjacobs/mozart,440,PHP,Dependency management,"Developers tool for WordPress plugins: Wraps all your projects dependencies in your own namespace, in order to prevent conflicts with other plugins loading the same dependencies in different versions."
kiliankoe / swift-outdated,https://github.com/kiliankoe/swift-outdated,349,Swift,Dependency management,A swift subcommand for displaying when your dependencies (SwiftPM or Xcode) are out of date
ray-project / ray,https://github.com/ray-project/ray,36.3k,Python,Deployment,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
Dokploy / dokploy,https://github.com/Dokploy/dokploy,18.7k,TypeScript,Deployment,"Open Source Alternative to Vercel, Netlify and Heroku."
caprover / caprover,https://github.com/caprover/caprover,13.8k,TypeScript,Deployment,Scalable PaaS (automated Docker+nginx) - aka Heroku on Steroids
capistrano / capistrano,https://github.com/capistrano/capistrano,12.8k,Ruby,Deployment,"A deployment automation tool built on Ruby, Rake, and SSH."
bureado / awesome-software-supply-chain-security,https://github.com/bureado/awesome-software-supply-chain-security,313,Unknown,Dependency management,"A compilation of resources in the software supply chain security domain, with emphasis on open source"
thoth-station / micropipenv,https://github.com/thoth-station/micropipenv,237,Python,Dependency management,"A lightweight wrapper for pip to support requirements.txt, Pipenv and Poetry lock files or converting them to pip-tools compatible output. Designed for containerized Python applications but not limited to them."
gradle / actions,https://github.com/gradle/actions,197,TypeScript,Dependency management,A collection of GitHub Actions to accelerate your Gradle Builds on GitHub
deployphp / deployer,https://github.com/deployphp/deployer,10.8k,PHP,Deployment,The PHP deployment tool with support for popular frameworks out of the box
AppImage / AppImageKit,https://github.com/AppImage/AppImageKit,8.9k,C,Deployment,"Package desktop applications as AppImages that run on common Linux-based operating systems, such as RHEL, CentOS, openSUSE, SLED, Ubuntu, Fedora, debian and derivatives. Join #AppImage on irc.libera.chat"
apex / up,https://github.com/apex/up,8.8k,Go,Deployment,"Deploy infinitely scalable serverless apps, apis, and sites in seconds to AWS."
chef / chef,https://github.com/chef/chef,7.7k,Ruby,Deployment,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale"
go-kod / kod,https://github.com/go-kod/kod,182,Go,Dependency management,"A generics based dependency injection application framework for Go, supporting aspect oriented programming based on interceptors"
abdes / asap,https://github.com/abdes/asap,143,CMake,Dependency management,"A modern cmake starter project for C++ with a complete build lifecycle, testing, dependency management, etc. Portable across Linux, OS X and Windows."
dfed / SafeDI,https://github.com/dfed/SafeDI,136,Swift,Dependency management,Compile-time-safe dependency injection in Swift
netlify / framework-info,https://github.com/netlify/framework-info,136,JavaScript,Dependency management,Framework detection utility
xorbitsai / inference,https://github.com/xorbitsai/inference,7.3k,Python,Deployment,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop."
gitname / react-gh-pages,https://github.com/gitname/react-gh-pages,6.8k,TypeScript,Deployment,Deploying a React App (created using create-react-app) to GitHub Pages
MightyMoud / sidekick,https://github.com/MightyMoud/sidekick,6.5k,Go,Deployment,Bare metal to production ready in mins; your own fly server on your VPS.
vishalgarg-sec / Software-Supply-Chain-Security,https://github.com/vishalgarg-sec/Software-Supply-Chain-Security,132,Unknown,Dependency management,"A compilation of Software Supply Chain Security resources including initiatives, standards, regulations, organizations, vendors, tooling, books, articles and a plethora of learning resources from the web."
aaronpeikert / reproducible-research,https://github.com/aaronpeikert/reproducible-research,124,TeX,Dependency management,"A Reproducible Data Analysis Workflow with R Markdown, Git, Make, and Docker"
silverwind / updates,https://github.com/silverwind/updates,103,JavaScript,Dependency management,Flexible npm and poetry dependency update tool
momosecurity / mosec-maven-plugin,https://github.com/momosecurity/mosec-maven-plugin,103,Java,Dependency management,用于检测maven项目的第三方依赖组件是否存在安全漏洞。
shuttle-hq / shuttle,https://github.com/shuttle-hq/shuttle,6.4k,Rust,Deployment,Build & ship backends without writing any infrastructure files.
node-config / node-config,https://github.com/node-config/node-config,6.3k,JavaScript,Deployment,Node.js Application Configuration
StackStorm / st2,https://github.com/StackStorm/st2,6.2k,Python,Deployment,"StackStorm (aka ""IFTTT for Ops"") is event-driven automation for auto-remediation, incident responses, troubleshooting, deployments, and more for DevOps and SREs. Includes rules engine, workflow, 160 integration packs with 6000+ actions (see"
rundeck / rundeck,https://github.com/rundeck/rundeck,5.7k,Groovy,Deployment,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts"
meefik / linuxdeploy,https://github.com/meefik/linuxdeploy,5.4k,Java,Deployment,Install and run GNU/Linux on Android
,https://github.com/marketplace/git-x-modules,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/myget,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/socket-security,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/depfu,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/renovate,0,Unknown,Dependency management,Unknown
shipitjs / shipit,https://github.com/shipitjs/shipit,5.3k,JavaScript,Deployment,Universal automation and deployment tool ⛵️
PaddlePaddle / PaddleX,https://github.com/PaddlePaddle/PaddleX,5.3k,Python,Deployment,All-in-One Development Tool based on PaddlePaddle
gaia-pipeline / gaia,https://github.com/gaia-pipeline/gaia,5.2k,Go,Deployment,Build powerful pipelines in any programming language.
,https://github.com/marketplace/codefresh,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/snyk,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/container-registry,0,Unknown,Dependency management,Unknown
,https://github.com/marketplace/cloud-66-for-rails,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/indiecrew-integration,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/container-registry,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/flaptastic,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/deploybot-app,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/azure-pipelines,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/buddy,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/pr-scheduler,0,Unknown,Deployment,Unknown
,https://github.com/marketplace/cloud-66-skycap,0,Unknown,Deployment,Unknown
django / django,https://github.com/django/django,83k,Python,Django,The Web framework for perfectionists with deadlines.
LeCoupa / awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,42k,JavaScript,Django,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file."
getsentry / sentry,https://github.com/getsentry/sentry,40.4k,Python,Django,Developer-first error tracking and performance monitoring
makeplane / plane,https://github.com/makeplane/plane,34.9k,TypeScript,Django,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet."
encode / django-rest-framework,https://github.com/encode/django-rest-framework,29k,Python,Django,Web APIs for Django. 🎸
jumpserver / jumpserver,https://github.com/jumpserver/jumpserver,26.3k,Python,Django,An open-source PAM tool alternative to CyberArk. 广受欢迎的开源堡垒机。
paperless-ngx / paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,26.1k,Python,Django,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents"
wagtail / wagtail,https://github.com/wagtail/wagtail,19k,Python,Django,A Django content management system focused on flexibility and user experience
netbox-community / netbox,https://github.com/netbox-community/netbox,17.2k,Python,Django,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:
ansible / awx,https://github.com/ansible/awx,14.5k,Python,Django,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform."
cookiecutter / cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,12.6k,Python,Django,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.
Miserlou / Zappa,https://github.com/Miserlou/Zappa,11.9k,Python,Django,Serverless Python
suitenumerique / docs,https://github.com/suitenumerique/docs,10.7k,Python,Django,"A collaborative note taking, wiki and documentation platform that scales. Built with Django and React. Opensource alternative to Notion or Outline."
jlevy / the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,155k,Unknown,Documentation,"Master the command line, in one page"
django-cms / django-cms,https://github.com/django-cms/django-cms,10.4k,Python,Django,The easy-to-use and developer-friendly enterprise CMS powered by Django
wsvincent / awesome-django,https://github.com/wsvincent/awesome-django,10.1k,Python,Django,A curated list of awesome things related to Django
pennersr / django-allauth,https://github.com/pennersr/django-allauth,9.9k,Python,Django,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication."
storybookjs / storybook,https://github.com/storybookjs/storybook,86.3k,TypeScript,Documentation,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
